,Banana,Cassava,Coconut,Diploid Cotton (Paruththi),Fodder Sorghum,Groundnut,Maize,Mango,Marigold,Rice (Paddy),Sorghum,Sugarcane
Banana,0,0,4,0,0,0,0,0,0,8,0,0
Cassava,0,0,0,0,0,0,0,0,0,0,0,0
Coconut,0,0,81,0,0,0,0,0,0,32,0,0
Diploid Cotton (Paruththi),0,0,0,0,0,0,0,0,0,2,0,0
Fodder Sorghum,0,0,0,0,0,0,0,0,0,0,0,0
Groundnut,0,0,0,0,0,0,0,0,0,1,0,0
Maize,0,0,0,0,0,0,0,0,0,34,0,0
Mango,0,0,0,0,0,0,0,0,0,0,0,0
Marigold,0,0,0,0,0,0,0,0,0,1,0,0
Rice (Paddy),0,0,1,0,0,0,0,0,0,449,0,0
Sorghum,0,0,0,0,0,0,0,0,0,0,0,0
Sugarcane,0,0,0,0,0,0,0,0,0,20,0,0
